CompetitionID,Arme,Sexe,Domaine,Federation,Categorie,Date,TitreCourt,TitreLong,CompetitionType,FileName
489,F,F,,ITA,B,22.04.2015,FFU-eq,U23 European Championships Foil,Team,1201.xml
117,F,M,,ITA,B,22.04.2015,FMU-in,U23 European Championships - MEN'S FOIL,Individual,1202.xml
484,E,M,,ITA,B,22.04.2015,EMU-eq,U23 European Championships epee m.,Team,1203.xml
485,F,M,,ITA,B,22.04.2015,FMU-eq,U23 European Championships - men's foil eq,Team,1204.xml
114,E,F,,ITA,B,22.04.2015,EFU-in,U23 European Championships - WOMAN'S EPEE,Individual,1205.xml
119,S,M,,ITA,B,22.04.2015,SMU-in,U23 European Championships - MEN'S SABRE,Individual,1206.xml
488,E,F,,ITA,B,22.04.2015,EFU-eq,U23 European Championships - WOMEN'S EPEE TEAM,Team,1207.xml
486,S,M,,ITA,B,22.04.2015,SMU-eq,U23 European Championships - MEN' SABRE TEAM,Team,1208.xml
738,E,F,I,SUI,S,06.06.2015,,Championnats d'Europe,Individual,1209.xml
90,S,F,,GBR,C,29.01.2011,Women's Cadet Sabre,Women's Cadet Sabre,Individual,121.xml
741,F,M,I,SUI,S,06.06.2015,,Championnats d'Europe,Individual,1211.xml
739,E,M,I,SUI,S,06.06.2015,,Championnats d'Europe,Individual,1212.xml
740,F,F,I,SUI,S,06.06.2015,,Championnats d'Europe,Individual,1213.xml
742,S,F,I,SUI,S,06.06.2015,,Championnats d'Europe,Individual,1214.xml
743,S,M,I,SUI,S,06.06.2015,,Championnats d'Europe,Individual,1215.xml
744,E,F,E,SUI,S,06.06.2015,,Championnats d'Europe,Team,1217.xml
747,F,M,E,SUI,S,06.06.2015,,Championnats d'Europe,Team,1218.xml
745,E,M,E,SUI,S,06.06.2015,,Championnats d'Europe,Team,1219.xml
70,E,F,,SWE,C,05.02.2011,EFC-in,European Cadet Circuit,Individual,122.xml
1243,E,F,I,AZE,S,23.06.2015,,Jeux Europeens,Individual,1220.xml
1244,E,M,I,AZE,S,24.06.2015,,Jeux Europeens,Individual,1222.xml
1245,F,F,I,AZE,S,24.06.2015,,Jeux Europeens,Individual,1223.xml
1248,S,M,I,AZE,S,23.06.2015,,Jeux Europeens,Individual,1224.xml
1246,F,M,I,AZE,S,25.06.2015,,Jeux Europeens,Individual,1225.xml
1247,S,F,I,AZE,S,25.06.2015,,Jeux Europeens,Individual,1226.xml
29,F,M,I,HUN,C,12.09.2015,FMC-in,Cadet Circuit Men's Foil,Individual,1228.xml
28,F,F,,HUN,C,12.09.2015,FFC-in,Cadet circuit womens foil,Individual,1229.xml
17,S,F,,POL,C,11.09.2015,SFC-in,Cadet Circuit,Individual,1230.xml
18,S,M,,POL,C,11.09.2015,SMC-in,Cadet Circuit,Individual,1233.xml
27,E,M,,HUN,C,12.09.2015,EMC-in,Cadet Circuit Men's Epee,Individual,1234.xml
19,S,F,,POL,C,11.09.2015,SFC-eq,Cadet Circuit,Team,1235.xml
20,S,M,,POL,C,11.09.2015,SMC-eq,Cadet Circuit,Team,1236.xml
0,F,MF,I,HUN,C,13.09.2015,,Budapest 2015,Team,1242.xml
41,S,M,I,HUN,C,26.09.2015,SMC-in,European Cadet Circuit Men's Sabre,Individual,1244.xml
21,E,F,,SRB,C,27.09.2015,Cadet Circuit,Cadet Circuit,Individual,1245.xml
25,E,M,,TUR,C,26.09.2015,EMC-in,Cadet Circuit,Individual,1246.xml
40,S,F,I,HUN,C,26.09.2015,SFC2-in,European Cadet Circuit Women's Sabre,Individual,1247.xml
14,F,M,I,,C,03.10.2015,,Manchester Cadet,Individual,1248.xml
15,F,F,I,,C,03.10.2015,,Manchester Cadet,Team,1249.xml
13,F,F,I,,C,03.10.2015,,Manchester Cadet,Individual,1250.xml
0,F,M,I,,C,03.10.2015,,Manchester Cadet,Team,1251.xml
547,E,F,,HUN,,03.10.2015,EFU-in,Felnott Noi Parbajtor Valogato,Individual,1252.xml
546,E,M,,HUN,,03.10.2015,EMU-in,Felnott Ferfi Parbajtor Valogato,Individual,1253.xml
578,F,M,,FRA,S,03.10.2015,2016_antony_fh_u23,U23 European Circuit FHS,Individual,1257.xml
579,F,F,I,FRA,B,03.10.2015,2016_Antony_fd_U23,2016_Antony_fd_U23,Individual,1258.xml
314,E,F,,,,10.10.2015,Cadet Circuit,,Individual,1259.xml
71,E,M,,SWE,C,06.02.2011,EMC-in,European Cadet Circuit,Individual,126.xml
315,E,F,,,,11.10.2015,Cadet Circuit,,Team,1263.xml
38,E,M,I,FFE,C,10.10.2015,151010_CE_EHC_indiv,9eme Coupe Europeenne Epee Homme Cadet,Individual,1264.xml
57,E,M,I,FFE,C,10.10.2015,151011_EHC_EQUIP,Epee Homme Cadet par Equipe Chalons le 11/10/2015,Team,1268.xml
50,S,F,,FRA,C,17.10.2015,SFC-in,Eurosabre 2015 Cadet Circuit Women,Individual,1269.xml
441,S,F,,SWE,S,12.02.2011,European U23 Circuit,European U23 Circuit,Individual,127.xml
51,S,M,,FRA,C,17.10.2015,SMC-in,Eurosabre 2015 Cadet Circuit Men,Individual,1270.xml
0,S,X,I,,C,18.10.2015,,Eurosabre Equipe Mixte,Team,1272.xml
48,F,M,I,GRE,C,17.10.2015,FMC-in 2015,European Cadet Circuit Men's Foil - Individual,Individual,1273.xml
49,F,M,,GRE,C,18.10.2015,FMC-eq,European Cadet Circuit Men's Foil - Team,Team,1274.xml
36,F,F,,SVK,C,17.10.2015,Coupe de Samaria 2015,Coupe de Samaria 2015,Individual,1275.xml
495,E,F,,AUT,C,31.10.2015,EFC-in,Cadet Circuit Epee Feminin Cadets,Individual,1281.xml
494,E,M,,AUT,C,31.10.2015,EMC-in,Cadet Circuit epee masculin,Individual,1282.xml
99,E,F,I,FFE,S,24.10.2015,eds-U23,eds-U23,Individual,1288.xml
1157,E,M,I,FFE,S,24.10.2015,ehs-U23,ehs-U23,Individual,1289.xml
94,E,F,,SVK,C,12.02.2011,CD 2011 EFC,CD 2011 EFC,Individual,129.xml
90,S,F,I,GBR,C,31.10.2015,WS,Women's Cadet Sabre,Individual,1290.xml
91,S,M,I,GBR,C,31.10.2015,MS,Men's Cadet Sabre,Individual,1291.xml
739,E,M,I,GER,S,19.07.2010,,Championnats d'Europe,Individual,13.xml
62,S,F,,BUL,C,07.11.2015,SFC-in,Cadet Circuit,Individual,1300.xml
